TYPE;NAME;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation;Location
0;M50;NGC 2323;open_cluster;Winter / Hiver;5;Unicorn;Licorne;Monoceros;07:02:40.47;-08:21:50.5;2950;16,0. x 5,5';M50.jpg;http://www.lasam.ca/M050.JPG;Mon;location/Messier-50-location.jpg
0;M51;NGC 5194;galaxy;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;13:29:52.71;+47:11:42.6;37000000;11,0' x 7,8';M51.jpg;http://www.lasam.ca/M051.JPG;CVn;location/Messier-51-location.jpg
0;M52;NGC 7654;open_cluster;Autumn / Automne;6;Cassiopeia;Cassiopée;Cassiopeia;23:24:48.40;+61:35:35.4;3000;13,0';M52.jpg;http://www.lasam.ca/M052.JPG;Cas;location/Messier-52-location.jpg
0;M53;NGC 5024;globular_cluster;Spring / Printemps;7;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;13:12:55.23;+18:10:08.8;69000;14,4';M53.jpg;http://www.lasam.ca/M053.JPG;Com;location/Messier-53-location.jpg
0;M54;NGC 6715;globular_cluster;Summer / Été;7;Archer;Sagittaire;Sagittarius;18:55:03.27;-30:28:42.6;49000;5,5';M54.jpg;http://www.lasam.ca/M054.JPG;Sgr;location/Messier-54-location.jpg
0;M55;NGC 6809;globular_cluster;Summer / Été;7;Archer;Sagittaire;Sagittarius;19:39:59.40;-30:57:43.5;20000;14,8';M55.jpg;http://www.lasam.ca/M055.JPG;Sgr;location/Messier-55-location.jpg
0;M56;NGC 6779;globular_cluster;Summer / Été;8;Lyre;Lyre;Lyra;19:16:35.51;+30:11:04.2;45600;2,4';M56.jpg;http://www.lasam.ca/M056.JPG;Lyr;location/Messier-56-location.jpg
0;M57;NGC 6720;planetary_nebula;Summer / Été;9;Lyre;Lyre;Lyra;18:53:35.01;+33:01:42.9;1410;71'';M57.jpg;http://www.lasam.ca/M057.JPG;Lyr;location/Messier-57-location.jpg
0;M58;NGC 4579;galaxy;Spring / Printemps;9;Virgin;Vierge;Virgo;12:37:43.52;+11:49:05.5;41000000;5,4' x 4,4';M58.jpg;http://www.lasam.ca/M058.JPG;Vir;location/Messier-58-location.jpg
0;M59;NGC 4621;galaxy;Spring / Printemps;9;Virgin;Vierge;Virgo;12:42:02.24;+11:38:49.3;41000000;5,1' x 3,4';M59.jpg;http://www.lasam.ca/M059.JPG;Vir;location/Messier-59-location.jpg
0;M60;NGC 4649;galaxy;Spring / Printemps;8;Virgin;Vierge;Virgo;12:43:39.98;+11:33:09.7;41000000;7,2' x 6,2';M60.jpg;http://www.lasam.ca/M060.JPG;Vir;location/Messier-60-location.jpg
0;M61;NGC 4303;galaxy;Spring / Printemps;9;Virgin;Vierge;Virgo;12:21:54.90;+04:28:25.1;41000000;6,0' x 5,5';M61.jpg;http://www.lasam.ca/M061.JPG;Vir;location/Messier-61-location.jpg
0;M62;NGC 6266;globular_cluster;Summer / Été;6;Serpent Holder;Ophiuchus;Ophiuchus;17:01:12.60;-30:06:44.5;22500;6,3';M62.jpg;http://www.lasam.ca/M062.JPG;Oph;location/Messier-62-location.jpg
0;M63;NGC 5055;galaxy;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;13:15:49.33;+42:01:45.4;23800000;12,0' x 7,6';M63.jpg;http://www.lasam.ca/M063.JPG;CVn;location/Messier-63-location.jpg
0;M64;NGC 4826;galaxy;Spring / Printemps;8;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:56:43.64;+21:40:58.7;11800000;9,3' x 5,4';M64.jpg;http://www.lasam.ca/M064.JPG;Com;location/Messier-64-location.jpg
0;M65;NGC 3623;galaxy;Spring / Printemps;9;Lion;Lion;Leo;11:18:55.92;+13:05:32.5;29000000;10,0' x 3,3';M65.jpg;http://www.lasam.ca/M065.JPG;Leo;location/Messier-65-location.jpg
0;M66;NGC 3627;galaxy;Spring / Printemps;9;Lion;Lion;Leo;11:20:14.96;+12:59:29.5;29000000;8,7' x 4,4';M66.jpg;http://www.lasam.ca/M066.JPG;Leo;location/Messier-66-location.jpg
0;M67;NGC 2682;open_cluster;Spring / Printemps;6;Crab;Cancer;Cancer;08:51:20.13;+11:48:43.0;2600;27,0';M67.jpg;http://www.lasam.ca/M067.JPG;Cnc;location/Messier-67-location.jpg
0;M68;NGC 4590;globular_cluster;Spring / Printemps;8;Hydra, Sea Snake;Hydre;Hydra;12:39:28.01;-26:44:34.9;36000;9,8';M68.jpg;http://www.lasam.ca/M068.JPG;Hya;location/Messier-68-location.jpg
0;M69;NGC 6637;globular_cluster;Summer / Été;7;Archer;Sagittaire;Sagittarius;18:31:23.23;-32:20:52.7;23500;3,8';M69.jpg;http://www.lasam.ca/M069.JPG;Sgr;location/Messier-69-location.jpg
0;M70;NGC 6681;globular_cluster;Summer / Été;8;Archer;Sagittaire;Sagittarius;18:43:12.64;-32:17:30.8;65000;4,1';M70.jpg;http://www.lasam.ca/M070.JPG;Sgr;location/Messier-70-location.jpg
0;M71;NGC 6838;globular_cluster;Summer / Été;8;Arrow;Flèche;Sagitta;19:53:46.11;+18:46:42.2;13000;6,1';M71.jpg;http://www.lasam.ca/M071.JPG;Sge;location/Messier-71-location.jpg
0;M72;NGC 6981;globular_cluster;Autumn / Automne;9;Water Bearer;Verseau;Aquarius;20:53:27.91;-12:32:13.4;62000;5,1';M72.jpg;http://www.lasam.ca/M072.JPG;Aqr;location/Messier-72-location.jpg
0;M73;NGC 6994;open_cluster;Autumn / Automne;9;Water Bearer;Verseau;Aquarius;20:58:55.97;-12:38:07.8;;2,8';M73.jpg;http://www.lasam.ca/M073.JPG;Aqr;location/Messier-73-location.jpg
0;M74;NGC 628;galaxy;Autumn / Automne;9;Fishes;Les Poissons;Pisces;01:36:41.75;+15:47:01.2;26000000;10,0' x 9,6';M74.jpg;http://www.lasam.ca/M074.JPG;Psc;location/Messier-74-location.jpg
0;M75;NGC 6864;globular_cluster;Summer / Été;8;Archer;Sagittaire;Sagittarius;20:06:04.84;-21:55:20.0;78500;4,6';M75.jpg;http://www.lasam.ca/M075.JPG;Sgr;location/Messier-75-location.jpg
0;M76;NGC 650;planetary_nebula;Autumn / Automne;10;Perseus;Persée;Perseus;01:42:19.69;+51:34:31.7;8200;65'';M76.jpg;http://www.lasam.ca/M076.JPG;Per;location/Messier-76-location.jpg
0;M77;NGC 1068;galaxy;Autumn / Automne;8;Sea-monster;Baleine;Cetus;02:42:40.71;-00:00:47.8;52000000;6,9' x 5,9';M77.jpg;http://www.lasam.ca/M077.JPG;Cet;location/Messier-77-location.jpg
0;M78;NGC 2068;reflection_nebula;Winter / Hiver;8;Orion, Hunter;Orion;Orion;05:46:45.82;+00:04:45.5;1630;8,0' x 6,0';M78.jpg;http://www.lasam.ca/M078.JPG;Ori;location/Messier-78-location.jpg
0;M79;NGC 1904;globular_cluster;Winter / Hiver;8;Hare;Lièvre;Lepus;05:24:10.59;-24:31:27.2;43400;7,8';M79.jpg;http://www.lasam.ca/M079.JPG;Lep;location/Messier-79-location.jpg
0;M80;NGC 6093;globular_cluster;Summer / Été;7;Scorpion;Scorpion;Scorpius;16:17:02.51;-22:58:30.4;36000;5,1';M80.jpg;http://www.lasam.ca/M080.JPG;Sco;location/Messier-80-location.jpg
0;M81;NGC 3031;galaxy;Spring / Printemps;6;Big Bear;Grande Ourse;Ursa Major;09:55:33.17;+69:03:55.1;8500000;26,0' x 14,0';M81.jpg;http://www.lasam.ca/M081.JPG;UMa;location/Messier-81-location.jpg
0;M82;NGC 3034;galaxy;Spring / Printemps;8;Big Bear;Grande Ourse;Ursa Major;09:55:52.73;+69:40:45.8;8500000;11,0' x 4,6';M82.jpg;http://www.lasam.ca/M082.JPG;UMa;location/Messier-82-location.jpg
0;M83;NGC 5236;galaxy;Spring / Printemps;7;Hydra, Sea Snake;Hydre;Hydra;13:37:00.95;-29:51:55.5;8500000;11,0' x 10,0';M83.jpg;http://www.lasam.ca/M083.JPG;Hya;location/Messier-83-location.jpg
0;M84;NGC 4374;galaxy;Spring / Printemps;9;Virgin;Vierge;Virgo;12:25:03.74;+12:53:13.1;41000000;5,0' x 4,4';M84.jpg;http://www.lasam.ca/M084.JPG;Vir;location/Messier-84-location.jpg
0;M85;NGC 4382;galaxy;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:25:24.11;+18:11:29.4;41000000;7,1' x 5,2';M85.jpg;http://www.lasam.ca/M085.JPG;Com;location/Messier-85-location.jpg
0;M86;NGC 4406;galaxy;Spring / Printemps;9;Virgin;Vierge;Virgo;12:26:11.74;+12:56:46.4;20000000;7,4' x 5,5';M86.jpg;http://www.lasam.ca/M086.JPG;Vir;location/Messier-86-location.jpg
0;M87;NGC 4486;galaxy;Spring / Printemps;8;Virgin;Vierge;Virgo;12:30:49.42;+12:23:28.0;63000000;7,2' x 6,8';M87.jpg;http://www.lasam.ca/M087.JPG;Vir;location/Messier-87-location.jpg
0;M88;NGC 4501;galaxy;Spring / Printemps;9;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:31:59.16;+14:25:13.4;41000000;6,9' x 3,9';M88.jpg;http://www.lasam.ca/M088.JPG;Com;location/Messier-88-location.jpg
0;M89;NGC 4552;galaxy;Spring / Printemps;9;Virgin;Vierge;Virgo;12:35:39.81;+12:33:22.8;41000000;4,2' x 4,2';M89.jpg;http://www.lasam.ca/M089.JPG;Vir;location/Messier-89-location.jpg
0;M90;NGC 4560;galaxy;Spring / Printemps;9;Virgin;Vierge;Virgo;12:36:49.79;+13:09:46.6;41000000;9,5' x 4,7';M90.jpg;http://www.lasam.ca/M090.JPG;Vir;location/Messier-90-location.jpg
0;M91;NGC 4548;galaxy;Spring / Printemps;10;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:35:26.45;+14:29:46.8;37000000;5,4' x 4,4';M91.jpg;http://www.lasam.ca/M091.JPG;Com;location/Messier-91-location.jpg
0;M92;NGC 6341;globular_cluster;Summer / Été;6;Hercules;Hercule;Hercules;17:17:07.27;+43:08:11.5;28400;12,2';M92.jpg;http://www.lasam.ca/M092.JPG;Her;location/Messier-92-location.jpg
0;M93;NGC 2447;open_cluster;Winter / Hiver;6;Stern,Poop deck;Poupe;Puppis;07:44:29.23;-23:51:11.1;3600;22,0';M93.jpg;http://www.lasam.ca/M093.JPG;Pup;location/Messier-93-location.jpg
0;M94;NGC 4736;galaxy;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;12:50:53.06;+41:07:13.6;32600000;11,0' x 9,1';M94.jpg;http://www.lasam.ca/M094.JPG;CVn;location/Messier-94-location.jpg
0;M95;NGC 3351;galaxy;Spring / Printemps;9;Lion;Lion;Leo;10:43:57.70;+11:42:13.7;20300000;7,4' x 5,1';M95.jpg;http://www.lasam.ca/M095.JPG;Leo;location/Messier-95-location.jpg
0;M96;NGC 3368;galaxy;Spring / Printemps;9;Lion;Lion;Leo;10:46:45.74;+11:49:11.8;29300000;7,1' x 5,1';M96.jpg;http://www.lasam.ca/M096.JPG;Leo;location/Messier-96-location.jpg
