NAME;NGC;Object type;Season;Magnitude;Constellation (EN);Constellation (FR);Constellation (Latin);RA;DEC;Distance;Size;Image;Image ciel;Constellation
M58;NGC 4579;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:37:43.52;+11:49:05.5;41000000;5,4' x 4,4';/static/images/messier/M58.jpg;http://www.lasam.ca/messier/M058.JPG;Vir
M59;NGC 4621;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:42:02.24;+11:38:49.3;41000000;5,1' x 3,4';/static/images/messier/M59.jpg;http://www.lasam.ca/messier/M059.JPG;Vir
M60;NGC 4649;Galaxy / Galaxie;Spring / Printemps;8;Virgin;Vierge;Virgo;12:43:39.98;+11:33:09.7;41000000;7,2' x 6,2';/static/images/messier/M60.jpg;http://www.lasam.ca/messier/M060.JPG;Vir
M61;NGC 4303;Galaxy / Galaxie;Spring / Printemps;9;Virgin;Vierge;Virgo;12:21:54.90;+04:28:25.1;41000000;6,0' x 5,5';/static/images/messier/M61.jpg;http://www.lasam.ca/messier/M061.JPG;Vir
M62;NGC 6266;Globular Cluster / Amas Globulaire;Summer / Été;6;Serpent Holder;Ophiuchus;Ophiuchus;17:01:12.60;-30:06:44.5;22500;6,3';/static/images/messier/M62.jpg;http://www.lasam.ca/messier/M062.JPG;Oph
M63;NGC 5055;Galaxy / Galaxie;Spring / Printemps;8;Hound Dogs;Les Chiens de chasse;Canes Venatici;13:15:49.33;+42:01:45.4;23800000;12,0' x 7,6';/static/images/messier/M63.jpg;http://www.lasam.ca/messier/M063.JPG;CVn
M64;NGC 4826;Galaxy / Galaxie;Spring / Printemps;8;Hair of Berenice;Chevelure de Bérénice;Coma Berenices;12:56:43.64;+21:40:58.7;11800000;9,3' x 5,4';/static/images/messier/M64.jpg;http://www.lasam.ca/messier/M064.JPG;Com
M65;NGC 3623;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;11:18:55.92;+13:05:32.5;29000000;10,0' x 3,3';/static/images/messier/M65.jpg;http://www.lasam.ca/messier/M065.JPG;Leo
M66;NGC 3627;Galaxy / Galaxie;Spring / Printemps;9;Lion;Lion;Leo;11:20:14.96;+12:59:29.5;29000000;8,7' x 4,4';/static/images/messier/M66.jpg;http://www.lasam.ca/messier/M066.JPG;Leo
M67;NGC 2682;Open Cluster / Amas Ouvert;Spring / Printemps;6;Crab;Cancer;Cancer;08:51:20.13;+11:48:43.0;2600;27,0';/static/images/messier/M67.jpg;http://www.lasam.ca/messier/M067.JPG;Cnc
